t2	17
       KEY        c0        c1        c2        c3        c4        c5        c6        c7        c8        c9        cA        cB        cC        cD        cE        cF
       r11        -1       -25       -23        13        15        23        16       -10        -6        16        25       -25         0        19        21       -18
       r12        10        28        20        29        -9        -7         2        12        28        29         4       -12         0        18        28        -4
       r13        10        38         8        20         6       -17        27         5        -6        18        28         1         0       -13        15        13
       r14       -21       -16       -22        -5       -15         8       -12        15       -19        10         7       -29         0       -14         5        -5
       r15         2        10        29        -2       -16        -3       -19        22        14        20         3        -4         0        11        -6       -22
       r16        30        17       -20        -7         6       -19       -14        10        -5       -28        21        -7         0        23         6       -16
       r17        15        25        21         1       -10         7       -23        27       -21         9       -25        17         0        10        -1        10
       r18       -19        43        21        11        26         5         5        16       -26       -18       -21         0         0       -23        30        17
       r19         4        16       -10       -26        12        24        17         6        28        -3        -3        19         0        21       -26         0
       r1A        30       -44       -11        21       -10        17        19         8       -30        -4        16         7         0       -16        -8         5
       r1B       -24       -15        23         8        19        20        -4        27        -9       -10         6       -13         0         4        18        24
       r1C         5        19         4        10        18       -25         1        -5       -27        12        21         5         0        24       -13       -27
       r1D        17         1       -28         2       -24        -3         1         8        23       -26       -15        16         0         6         6         7
       r1E         1        22       -15        24       -24        30        -5        11        -5        20        18       -17         0         9       -30         5
       r1F        28       -22       -23        23         5       -19        27        -2        -6        17       -21        20         0       -19         4        25
       r20        17         3         9        24         3        13       -23         3        26       -27       -16        27         0       -16         2        -4
       r21         4       -17       -24        -8         9       -26        -6        25         2         0        21       -28         0        19        -9        21
       r22        -8        18         8        -9       -21         1       -17        10       -11         4        20        22         0        29       -18       -27
       r23       -17         6        29        23        14       -21        28        21         9        -5       -19        15         0        -7        -1        27
       r24       -12        -3         7       -18       -12       -22       -20        -6        -9         4       -20       -10         0       -13        30         6
       r25       -13       -10       -19       -23       -11         8       -16         8        29       -27       -23        -4         0        -1        18        -1
       r26       -24        59        29       -17        10        25        21        20       -10        10         7       -13         0       -17         7       -30
       r27        28        13        12        23       -22        16        13        26        -2        19       -27        -8         0        19        29        -3
  r11_copy        -1       -25       -23        13        15        23        16       -10        -6        16        25       -25         0        19        21       -18
  r13_copy        10        38         8        20         6       -17        27         5        -6        18        28         1         0       -13        15        13
  r14_copy       -21       -16       -22        -5       -15         8       -12        15       -19        10         7       -29         0       -14         5        -5
  r17_copy        15        25        21         1       -10         7       -23        27       -21         9       -25        17         0        10        -1        10
  r18_copy       -19        43        21        11        26         5         5        16       -26       -18       -21         0         0       -23        30        17
  r1A_copy        30       -44       -11        21       -10        17        19         8       -30        -4        16         7         0       -16        -8         5
  r1B_copy       -24       -15        23         8        19        20        -4        27        -9       -10         6       -13         0         4        18        24
  r1C_copy         5        19         4        10        18       -25         1        -5       -27        12        21         5         0        24       -13       -27
  r1E_copy         1        22       -15        24       -24        30        -5        11        -5        20        18       -17         0         9       -30         5
  r1F_copy        28       -22       -23        23         5       -19        27        -2        -6        17       -21        20         0       -19         4        25
  r24_copy       -12        -3         7       -18       -12       -22       -20        -6        -9         4       -20       -10         0       -13        30         6
  r27_copy        28        13        12        23       -22        16        13        26        -2        19       -27        -8         0        19        29        -3
  r12_copy        10        28        20        29        -9        -7         2        12        28        29         4       -12         0        18        28        -4
  r15_copy         2        10        29        -2       -16        -3       -19        22        14        20         3        -4         0        11        -6       -22
  r19_copy         4        16       -10       -26        12        24        17         6        28        -3        -3        19         0        21       -26         0
  r1D_copy        17         1       -28         2       -24        -3         1         8        23       -26       -15        16         0         6         6         7
  r20_copy        17         3         9        24         3        13       -23         3        26       -27       -16        27         0       -16         2        -4
  r21_copy         4       -17       -24        -8         9       -26        -6        25         2         0        21       -28         0        19        -9        21
  r23_copy       -17         6        29        23        14       -21        28        21         9        -5       -19        15         0        -7        -1        27
  r25_copy       -13       -10       -19       -23       -11         8       -16         8        29       -27       -23        -4         0        -1        18        -1
